name,handedness,height,weight,avg,HR,bmi 
Fritz Peterson,B,72,185,0.159,2,2.57
Jeff Barkley,B,75,185,0,0,2.47
Pete Rose,B,71,192,0.303,160,2.7
Nardi Contreras,B,74,193,0,0,2.61
Bump Wills,B,69,172,0.266,36,2.49
Mickey Lolich,B,73,170,0.11,0,2.33
Ray Chadwick,B,74,180,0,0,2.43
Rusty Torres,B,70,175,0.212,35,2.5
Marty Martinez,B,72,170,0.243,0,2.36
Ken Singleton,B,76,210,0.282,246,2.76
Tony Scott,B,72,164,0.249,17,2.28
Steve Jeltz,B,71,180,0.21,5,2.54
Joe Lovitto,B,72,185,0.216,4,2.57
Dave Collins,B,71,175,0.272,32,2.46
Randy Scarbery,B,73,185,0,0,2.53
Manny Castillo,B,69,160,0.242,3,2.32
Mike Ramsey,B,73,170,0.24,2,2.33
Dave McKay,B,73,195,0.229,21,2.67
Barry Raziano,B,70,175,0,0,2.5
Bob Didier,B,72,190,0.229,0,2.64
Billy Smith,B,74,185,0.23,17,2.5
Jim Lefebvre,B,72,180,0.251,74,2.5
Ken Henderson,B,74,180,0.257,122,2.43
Horace Clarke,B,69,170,0.256,27,2.46
Jerry White,B,70,164,0.253,21,2.34
Paul Householder,B,72,180,0.236,29,2.5
Jimmy Stewart,B,72,165,0.237,8,2.29
Rafael Landestoy,B,70,165,0.237,4,2.36
Steve Burke,B,74,200,0,0,2.7
Rick Sweet,B,73,200,0.234,6,2.74
U L Washington,B,71,175,0.251,27,2.46
Mark Brown,B,74,190,0,0,2.57
Ted Kubiak,B,72,175,0.231,13,2.43
Bobby Brown,B,74,190,0.245,26,2.57
Lafayette Currence,B,71,175,0,0,2.46
Roy Smalley,B,73,185,0.257,163,2.53
Bert Bradley,B,73,190,0,0,2.6
Bud Harrelson,B,71,160,0.236,7,2.25
Derrel Thomas,B,72,160,0.249,43,2.22
Johnny Ray,B,71,170,0.29,53,2.39
Billy North,B,71,185,0.261,20,2.61
Roger Metzger,B,72,165,0.231,5,2.29
Fred Norman,B,68,155,0.125,0,2.28
Chuck Hockenbery,B,73,195,0,0,2.67
Steve Huntz,B,73,204,0.206,16,2.79
Don Kessinger,B,73,170,0.252,14,2.33
Richie Scheinblum,B,73,180,0.263,13,2.47
Jeff Schneider,B,75,195,0,0,2.6
Vida Blue,B,72,189,0.104,4,2.63
Albert Hall,B,71,155,0.251,5,2.18
Chris Bando,B,72,195,0.227,27,2.71
Larry Lintz,B,69,150,0.227,0,2.17
Jerry Hairston,B,70,170,0.258,30,2.43
Larry Bowa,B,70,155,0.26,15,2.21
Pete Filson,B,74,195,0,0,2.64
Steve Cummings,B,74,200,0,0,2.7
Bob Veale,B,78,212,0.114,0,2.72
Bob Stinson,B,71,180,0.25,33,2.54
Sandy Alomar,B,69,140,0.245,13,2.03
Miguel Dilone,B,72,160,0.265,6,2.22
Don Buford,B,67,160,0.264,93,2.39
Rodney Scott,B,72,160,0.236,3,2.22
Larry Milbourne,B,72,161,0.254,11,2.24
Bill Sudakis,B,73,190,0.234,59,2.6
Ron Oester,B,74,185,0.265,42,2.5
R.J. Reynolds,B,72,190,0.267,35,2.64
Paul Popovich,B,72,175,0.233,14,2.43
Buddy Biancalana,B,71,160,0.205,6,2.25
Wallace Johnson,B,72,173,0.255,5,2.4
Tom Tresh,B,73,180,0.245,153,2.47
Ron Roenicke,B,72,180,0.238,17,2.5
Biff Pocoroba,B,70,175,0.257,21,2.5
Joaquin Andujar,B,72,170,0.127,5,2.36
Bob Meacham,B,73,175,0.236,8,2.4
George Wright,B,71,180,0.245,42,2.54
Len Randle,B,70,169,0.257,27,2.41
Bryan Little,B,70,160,0.245,3,2.29
Rick Peters,B,69,170,0.277,2,2.46
Ted Simmons,B,71,193,0.285,248,2.72
John Bohnet,B,72,175,0,0,2.43
Al Weis,B,72,160,0.219,7,2.22
Joe Wallis,B,71,180,0.244,16,2.54
Alan Wiggins,B,74,160,0.259,5,2.16
Julio Cruz,B,69,165,0.237,23,2.39
Wes Parker,B,73,180,0.267,64,2.47
Reggie Smith,B,72,180,0.287,314,2.5
Roy White,B,70,160,0.271,160,2.29
Lee Mazzilli,B,73,180,0.259,93,2.47
Alan Ashby,B,74,185,0.245,90,2.5
Tim Blackwell,B,71,170,0.228,6,2.39
Steve Ontiveros,B,72,185,0.274,24,2.57
Darrell Brown,B,72,184,0.274,1,2.56
